yes,Oil price drop: Brent crude dips as European Union braces for vote on Russia oil ban - Express
yes,"Brent Seen Averaging $104 in 2022, but Uncertainty Surrounds War in Ukraine, Economic Activity - Natural Gas Intelligence"
yes,Abu Dhabi oil site attack push Brent prices higher - Jamaica Gleaner
yes,Oil prices rise on Saudi crude hike; Brent reaches $121.52/bbl - Business Today
yes,"US gasoline prices fall to lowest since May, Brent below $100 - Anadolu Agency | English"
yes,Oil prices seesaw ahead of meet on emergency stocks release; Brent at $104.76/bbl - Business Today
yes,Brent oil reaches $87 per barrel on ICE for first time since 2014 - AzerNews.Az
yes,"Brent oil hits 8-year high, Bitcoin plunges as Ukraine crisis escalates - à¸ºBangkok Post"
no,"Crude Oil Price Forecast: WTI Retreats from $95.00, Brent Follows - DailyFX"
yes,Brent breaches $100: why itâs bad for the economy and the household - The Federal
yes,Russia Speaks Out Against High Oil Prices As Brent Nears $100 - OilPrice.com
yes,"FTSE 100 Live: Jobless rate falls but pay squeezed, Brent crude at $100 - Evening Standard"
yes,Brent crude oil marks biggest one-day price slump in almost 2 years - Fox Business
yes,Oil prices rise in tight market; Brent crude reaches $113.37/bbl - Business Today
yes,"FTSE 100 Live: Brent crude near $100 a barrel, rouble steadies - Evening Standard"
no,"Russian oil selling for 32% less than Brent, price discount may widen - Markets Insider"
no,Barclays raises Brent forecasts on Russia oil sanctions - Reuters
yes,Brent Holds Above $110 As EIA Confirms Crude Draw - OilPrice.com
yes,Oil prices seesaw after 6% slump due to economic concerns; Brent reaches $113.32/bbl - Business Today
yes,"Oil price today: Brent eases on Russia/Ukraine talks, China lockdown - Markets Insider"
yes,Oil prices gain 1% on drawdowns in US stockpiles; Brent crude reaches $105.87/bbl - Business Today
no,"Brent could average $60 to $80/bbl to 2027, says report - Trade Arabia"
no,Goldman sees potential SPR release cutting H2 2022 Brent forecast by $15/b - S&P Global
yes,"Brent oil to average USD 117/Bbl in March, up 30pc from February - ThePrint"
yes,"Commodity Superfast: Oil futures prices rose slightly today; Brent Crude $102, WTI $98 - Zee Business"
yes,Stock market essentials for June 23: Brent crude drops to the lowest in over a month; Vi raises Rs 436 crore - Times Now
yes,Brent Crude Oil to hit the $120 level by Q3 â ANZ - OGV Energy
yes,Brent oil price keeps its positive stability â Analysis - 06-05-2022 - Economies.com
yes,Brent crude to average $107 per barrel in Q2 2022 - EIA - Businessday
yes,"Brent crude oil plunges 6% as demand slackens, dollar gains - BusinessLine"
yes,Oil prices climb in early trade; Brent crude reaches $108.42/bbl - Business Today
yes,"FTSE 100 Live: Brent crude price rise continues, Nike shares fall - Evening Standard"
yes,Brent oil jumps to highest level in 7 years - Al Jazeera English
yes,Brent crude fell over 4% in a week amid economic worries; could trade in $98 and $112 range - Economic Times
