no,Later-dated Brent crude contracts trade below $100/bbl - Reuters
no,Commerzbank forecast Brent oil to $95 by the end of 2022 - ForexLive
yes,Brent oil prices end above $100 a barrel on new Russia sanctions as U.S. and others eye release from oil reserves - MarketWatch
no,Brent oil price breaches the resistance – Analysis - 23-05-2022 - Economies.com
no,"Inflation fears rising as Brent smashes through US$105, crude nudges $US100 - Stockhead"
no,Brent crude fell over 4% in a week amid economic worries; could trade in $98 and $112 range - Economic Times
no,Brent oil closes under $100 for first time since April - Gulf News
no,Brent Crude Oil Price One Year Ago: $74 Now: $113 - Latest Tweet by The Spectator Index - LatestLY
no,Brent climbs over $120 per barrel after Saudi Arabia raises crude prices - Business Standard
no,Crude Oil Outlook: Brent Lower Ahead of Crucial OPEC Meeting - DailyFX
yes,Brent bounces above $101/bbl as focus returns to supplies - Economic Times
no,UPDATE 2-ICE increases margins for front-month Brent crude futures by 19% - Yahoo Finance
no,Brent Crude Oil Price Prediction: Irrational Proposal by G7 - InvestingCube
yes,Goldman raises Brent price outlook on unresolved supply deficit - Hellenic Shipping News Worldwide
no,Brent to Trade at $105 Per Barrel in 2022–Fitch - Business Post Nigeria
no,Oil prices seesaw after 6% slump due to economic concerns; Brent reaches $113.32/bbl - Business Today
no,"Gold, Brent prices rally as lumber crashes - IG International"
no,Russia-Ukraine crisis: Brent crude hovers around $100/barrel; highest level since September 2014 - CNBCTV18
yes,Brent crude oil touches $110 amid fear of supply chain disruption from Russia - Scroll.in
no,"Brent Crude Prices Recoup Losses And Rise Nearly 3%, Back-Up Above $100 - NDTV Profit"
no,"Gold, Brent crude, and copper prices at risk of bearish turn after recent resurgence - IG Australia"
yes,Oil prices extend gains on Russia gas cuts threat; Brent reaches $106.26/bbl - Business Today
no,Brent oil price keeps its positive stability – Analysis - 06-05-2022 - Economies.com
no,Russia-Ukraine war: International oil prices cross $100-mark - India Today
yes,Oil prices up on supply losses from Libya; Brent reaches $107.35/bbl - Business Today
no,Oil on boil! Brent crude prices can rally to $145-150 - Economic Times
no,"Brent Crude Prices to Average $87 in February Before Declining Later in 2022, EIA Predicts - Natural Gas Intelligence"
no,"Brent oil hits 8-year high, Bitcoin plunges as Ukraine crisis escalates - ฺBangkok Post"
no,Oil prices fall over 1% on recession fears; Brent crude reaches $106.26/bbl - Business Today
no,Oil Posts Fifth Straight Weekly Gain As Warnings Of Brent Hitting $150 Surface - Ship & Bunker
no,Brent below $100 augurs well for India - The Financial Express
no,Fitch raises forecast for oil prices; seeing Brent at $100/barrel in 2022 - Arab News
no,"Brent Crude Oil Rebounds And Rises To Near $113 A Barrel, Deepened Volatility Likely - NDTV Profit"
